año,Mes,País destino,Nombre exportador,sacos_70,sacos_60,valor_usd,total_kg,fecha
2017,1,Alemania,A LAUMAYER Y COMPAÑIA EXPORTADORES,4691,5471,1133799.6400000001,328370,2017-01-01
2017,1,Alemania,VILLEGAS Y CIA. SOCIEDAD EN COMANDI,511,596,100000.0,35770,2017-01-01
2017,1,Alemania,SOCIEDAD EXPORTADORA DE CAFE,5660,6606,1436274.86,396200,2017-01-01
2017,1,Alemania,SKN CARIBECAFE LTDA,3244,3782,892886.7099999998,227080,2017-01-01
2017,1,Alemania,RESTCAFE S A S,3,3,1252.6,210,2017-01-01
2017,1,Alemania,RAFAEL ESPINOSA HERMANOS & CIA SCA,275,321,76598.64,19250,2017-01-01
2017,1,Alemania,RACAFE & CIA S.C.A.,2923,3408,691634.51,204610,2017-01-01
2017,1,Alemania,PROMOTORA DE INVERSIONES,275,321,64196.41,19250,2017-01-01
2017,1,Alemania,OLAM AGRO COLOMBIA S.A.S,1100,1283,236284.99,77000,2017-01-01
2017,1,Alemania,LOUIS DREYFUS COMPANY COLOMBIA S.A.,2401,2801,400000.01,168070,2017-01-01
2017,1,Alemania,LOUIS DREYFUS COMPANY COLOMBIA,7727,9015,1300000.0,540890,2017-01-01
2017,1,Alemania,INDUSTRIA COLOMBIANA DE CAFÉ S.A.S.,114,132,42784.0,7980,2017-01-01
2017,1,Alemania,FEDERACION NACIONAL DE CAFETEROS,16948,19770,4515533.249999999,1186360,2017-01-01
2017,1,Alemania,ENGELHART CTP (COLOMBIA )  S.A.S.,10237,11943,2175992.0799999996,716590,2017-01-01
2017,1,Alemania,INDUSTRIAS ALIADAS S.A.S,458,534,104720.0,32060,2017-01-01
2017,1,Alemania,COOPERATIVA DE CAFICULTORES,190,223,88090.0,13300,2017-01-01
2017,1,Alemania,ALTAMIRA SUPREMO S.A.S.,825,962,150000.0,57750,2017-01-01
2017,1,Alemania,BANCA EXPORTADORA S.A BANEXPORT,275,321,80000.0,19250,2017-01-01
2017,1,Alemania,DESCAFEINADORA COLOMBIANA S.A.S,1,1,2475.0,70,2017-01-01
2017,1,Alemania,CAFE COLSUAVES S.A.S,300,350,64500.0,21000,2017-01-01
2017,1,Alemania,CARAVELA COLOMBIA S.A.S,286,334,61490.0,20020,2017-01-01
2017,1,Alemania,CARCAFE LTDA,3107,3625,778706.25,217490,2017-01-01
2017,1,Alemania,C. I. KYOTO LOHAS BEANS S.A.S,271,316,96744.25,18970,2017-01-01
2017,1,Alemania,COMERCIALIZADORA TIERRA CAFE S.A.S.,283,332,101571.16999999998,19810,2017-01-01
2017,1,Alemania,COMPAÑÍA CAFETERA LA MESETA S.A.,3596,4197,908269.31,251720,2017-01-01
2017,1,Alemania,COMPAÑIA COLOMBIANA AGROINDUSTRIAL,899,1049,207630.77,62930,2017-01-01
2017,1,Alemania,COMPAÑIA NACIONAL DEL CAFÉ  S.A.S,6783,7912,1777309.6700000002,474810,2017-01-01
2017,1,Alemania,COFCO COLOMBIA S.A.S,275,321,50000.0,19250,2017-01-01
2017,2,Alemania,ENGELHART CTP (COLOMBIA )  S.A.S.,14233,16600,2568396.8800000004,996310,2017-02-01
2017,2,Alemania,SOCIEDAD EXPORTADORA DE CAFE,3804,4436,939145.2999999999,266280,2017-02-01
2017,2,Alemania,SKN CARIBECAFE LTDA,5923,6912,1661443.8199999996,414610,2017-02-01
2017,2,Alemania,RACAFE & CIA S.C.A.,858,1001,223040.28,60060,2017-02-01
2017,2,Alemania,LOUIS DREYFUS COMPANY COLOMBIA,13186,15387,2200000.0000000005,923020,2017-02-01
2017,2,Alemania,INDUSTRIAS ALIADAS S.A.S,458,534,104720.0,32060,2017-02-01
2017,2,Alemania,FEDERACION NACIONAL DE CAFETEROS,9964,11623,2436330.7800000003,697480,2017-02-01
2017,2,Alemania,COOPERATIVA DE CAFICULTORES,898,1047,257929.22,62860,2017-02-01
2017,2,Alemania,ECOLSIERRA EXPORT S.A.S,555,647,150000.0,38850,2017-02-01
2017,2,Alemania,COMPAÑIA COLOMBIANA AGROINDUSTRIAL,1675,1954,397862.74999999994,117250,2017-02-01
2017,2,Alemania,A LAUMAYER Y COMPAÑIA EXPORTADORES,9191,10723,2330934.4600000004,643370,2017-02-01
2017,2,Alemania,ALTAMIRA SUPREMO S.A.S.,1101,1284,200000.0,77070,2017-02-01
2017,2,Alemania,BANCA EXPORTADORA S.A BANEXPORT,573,669,173397.53999999998,40110,2017-02-01
2017,2,Alemania,C. I. KYOTO LOHAS BEANS S.A.S,275,321,101596.74,19250,2017-02-01
2017,2,Alemania,COMPAÑIA NACIONAL DEL CAFÉ  S.A.S,3605,4205,847683.9800000001,252350,2017-02-01
2017,2,Alemania,COFCO COLOMBIA S.A.S,550,641,100000.0,38500,2017-02-01
2017,2,Alemania,COMPAÑÍA CAFETERA LA MESETA S.A.,5842,6814,1477688.6400000004,408940,2017-02-01
2017,2,Alemania,CARCAFE LTDA,2944,3434,709058.3399999999,206080,2017-02-01
2017,3,Alemania,SOCIEDAD EXPORTADORA DE CAFE,8339,9723,2099474.18,583730,2017-03-01
2017,3,Alemania,ECOLSIERRA EXPORT S.A.S,286,333,70000.0,20020,2017-03-01
2017,3,Alemania,RACAFE & CIA S.C.A.,4444,5183,1114544.26,311080,2017-03-01
2017,3,Alemania,OLAM AGRO COLOMBIA S.A.S,1097,1280,269124.99,76790,2017-03-01
2017,3,Alemania,LOUIS DREYFUS COMPANY COLOMBIA,10795,12593,1839198.4299999997,755650,2017-03-01
2017,3,Alemania,INTEGRA TRADING SAS,900,1050,150000.0,63000,2017-03-01
2017,3,Alemania,INDUSTRIAS ALIADAS S.A.S,458,534,104720.0,32060,2017-03-01
2017,3,Alemania,FEDERACION NACIONAL DE CAFETEROS,16484,19226,4393397.45,1153880,2017-03-01
2017,3,Alemania,ENGELHART CTP (COLOMBIA )  S.A.S.,15295,17846,3351609.96,1070650,2017-03-01
2017,3,Alemania,SKN CARIBECAFE LTDA,3873,4518,1044702.2999999999,271110,2017-03-01
2017,3,Alemania,COOPERATIVA DE CAFICULTORES,599,699,176180.0,41930,2017-03-01
2017,3,Alemania,COMPAÑIA COLOMBIANA AGROINDUSTRIAL,549,641,135941.34999999998,38430,2017-03-01
2017,3,Alemania,COMPAÑÍA CAFETERA LA MESETA S.A.,3118,3640,807318.7999999999,218260,2017-03-01
2017,3,Alemania,COFCO COLOMBIA S.A.S,275,321,50000.0,19250,2017-03-01
2017,3,Alemania,CINCINNATI COFFEE COMPANY S.A.S.,439,513,216792.90000000002,30730,2017-03-01
2017,3,Alemania,CARCAFE LTDA,6157,7182,1479351.28,430990,2017-03-01
2017,3,Alemania,C. I. KYOTO LOHAS BEANS S.A.S,846,988,305599.61,59220,2017-03-01
2017,3,Alemania,BANCA EXPORTADORA S.A BANEXPORT,900,1050,240000.0,63000,2017-03-01
2017,3,Alemania,ALTAMIRA SUPREMO S.A.S.,1382,1611,254216.69999999998,96740,2017-03-01
2017,3,Alemania,ALMA DE HUILA EXPORTADORES SAS,285,332,63545.44,19950,2017-03-01
2017,3,Alemania,A LAUMAYER Y COMPAÑIA EXPORTADORES,8530,9950,1916671.8199999998,597100,2017-03-01
2017,3,Alemania,COMPAÑIA NACIONAL DEL CAFÉ  S.A.S,863,1007,200243.21,60410,2017-03-01
2017,4,Alemania,LOUIS DREYFUS COMPANY COLOMBIA,8062,9407,1447727.71,564340,2017-04-01
2017,4,Alemania,OLAM AGRO COLOMBIA S.A.S,285,332,61275.0,19950,2017-04-01
2017,4,Alemania,PROMOTORA DE INVERSIONES,299,349,50000.0,20930,2017-04-01
2017,4,Alemania,RACAFE & CIA S.C.A.,600,700,136577.61,42000,2017-04-01
2017,4,Alemania,LONDON INVERSIONES S.A.S,9,11,3335.23,630,2017-04-01
2017,4,Alemania,SELECTO EXPORTADORES S.A.S.,275,321,66169.0,19250,2017-04-01
2017,4,Alemania,SKN CARIBECAFE LTDA,2291,2673,561292.51,160370,2017-04-01
2017,4,Alemania,SOCIEDAD EXPORTADORA DE CAFE,8077,9422,1988354.0499999998,565390,2017-04-01
2017,4,Alemania,RESTCAFE S A S,8,10,4639.0,560,2017-04-01
2017,4,Alemania,FEDERACION NACIONAL DE CAFETEROS,17653,20591,4660892.32,1235710,2017-04-01
2017,4,Alemania,ALTAMIRA SUPREMO S.A.S.,826,963,150000.0,57820,2017-04-01
2017,4,Alemania,ECOLSIERRA EXPORT S.A.S,276,322,80000.0,19320,2017-04-01
2017,4,Alemania,ENGELHART CTP (COLOMBIA )  S.A.S.,8735,10190,1819103.22,611450,2017-04-01
2017,4,Alemania,CAFE COLSUAVES S.A.S,825,963,177375.0,57750,2017-04-01
2017,4,Alemania,CARCAFE LTDA,4810,5610,1168118.56,336700,2017-04-01
2017,4,Alemania,A LAUMAYER Y COMPAÑIA EXPORTADORES,1448,1688,330278.86,101360,2017-04-01
2017,4,Alemania,COMPAÑÍA CAFETERA LA MESETA S.A.,3018,3520,740345.2800000001,211260,2017-04-01
2017,4,Alemania,COMPAÑIA NACIONAL DEL CAFÉ  S.A.S,299,349,64793.049999999996,20930,2017-04-01
2017,4,Alemania,COOPERATIVA DE CAFICULTORES,899,1050,264270.0,62930,2017-04-01
2017,4,Alemania,COFCO COLOMBIA S.A.S,549,640,100000.0,38430,2017-04-01
2017,5,Alemania,ENGELHART CTP (COLOMBIA )  S.A.S.,9588,11191,1960000.0200000003,671160,2017-05-01
2017,5,Alemania,SOCIEDAD EXPORTADORA DE CAFE,5337,6224,1327439.1500000004,373590,2017-05-01
2017,5,Alemania,SELECTO EXPORTADORES S.A.S.,187,218,37531.42,13090,2017-05-01
2017,5,Alemania,RACAFE & CIA S.C.A.,1147,1338,257401.38,80290,2017-05-01
2017,5,Alemania,LOUIS DREYFUS COMPANY COLOMBIA,3301,3850,628396.88,231070,2017-05-01
2017,5,Alemania,INDUSTRIAS ALIADAS S.A.S,916,1068,209440.0,64120,2017-05-01
2017,5,Alemania,FEDERACION NACIONAL DE CAFETEROS,7890,9201,1976121.56,552300,2017-05-01
2017,5,Alemania,EXPOCOSURCA S.A. C.I.,275,320,59125.0,19250,2017-05-01
2017,5,Alemania,ECOLSIERRA EXPORT S.A.S,275,321,70000.0,19250,2017-05-01
2017,5,Alemania,COMPAÑIA NACIONAL DEL CAFÉ  S.A.S,1923,2242,469343.01,134610,2017-05-01
2017,5,Alemania,COMPAÑIA COLOMBIANA AGROINDUSTRIAL,1100,1283,268172.25999999995,77000,2017-05-01
2017,5,Alemania,COMPAÑÍA CAFETERA LA MESETA S.A.,5183,6043,1246205.6400000001,362810,2017-05-01
2017,5,Alemania,COFFEE ROASTING S.A.S,2,3,870.0,140,2017-05-01
2017,5,Alemania,CARCAFE LTDA,4549,5306,1173363.61,318430,2017-05-01
2017,5,Alemania,CAFE COLSUAVES S.A.S,1149,1341,247250.0,80430,2017-05-01
2017,5,Alemania,C.I. MADRID S.A.,13,16,5085.5,910,2017-05-01
2017,5,Alemania,C. I. KYOTO LOHAS BEANS S.A.S,550,641,164698.05,38500,2017-05-01
2017,5,Alemania,ASOCIACION DE PRODUCTORES AGROPECUA,29,34,5710.0,2030,2017-05-01
2017,5,Alemania,ALTAMIRA SUPREMO S.A.S.,275,321,50000.0,19250,2017-05-01
2017,6,Alemania,FEDERACION NACIONAL DE CAFETEROS,11654,13591,3057598.350000001,815780,2017-06-01
2017,6,Alemania,INDUSTRIA COLOMBIANA DE CAFÉ S.A.S.,234,273,92925.0,16380,2017-06-01
2017,6,Alemania,INDUSTRIAS ALIADAS S.A.S,916,1068,238022.4,64120,2017-06-01
2017,6,Alemania,LOUIS DREYFUS COMPANY COLOMBIA,7801,9102,1796392.9999999998,546070,2017-06-01
2017,6,Alemania,SKN CARIBECAFE LTDA,836,975,185516.97,58520,2017-06-01
2017,6,Alemania,SOCIEDAD EXPORTADORA DE CAFE,3000,3499,729236.5199999999,210000,2017-06-01
2017,6,Alemania,RACAFE & CIA S.C.A.,572,666,138801.15000000002,40040,2017-06-01
2017,6,Alemania,ENGELHART CTP (COLOMBIA )  S.A.S.,12689,14803,2730854.119999999,888230,2017-06-01
2017,6,Alemania,OLAM AGRO COLOMBIA S.A.S,285,333,70000.0,19950,2017-06-01
2017,6,Alemania,COMPAÑIA NACIONAL DEL CAFÉ  S.A.S,549,641,128894.73000000001,38430,2017-06-01
2017,6,Alemania,BANCA EXPORTADORA S.A BANEXPORT,680,794,229599.22,47600,2017-06-01
2017,6,Alemania,COMPAÑÍA CAFETERA LA MESETA S.A.,5968,6963,1373423.0399999998,417760,2017-06-01
2017,6,Alemania,COFCO COLOMBIA S.A.S,550,640,139599.22,38500,2017-06-01
2017,6,Alemania,CARCAFE LTDA,4941,5765,1187334.7599999998,345870,2017-06-01
