fecha,total_export,total_kg,año
2017-01-01,1137.74,68264.4,2017
2017-02-01,1182.256,70935.36,2017
2017-03-01,1160.0,69600.0,2017
2017-04-01,898.0,53880.0,2017
2017-05-01,833.873,50032.380000000005,2017
2017-06-01,946.638,56798.28,2017
2017-07-01,1000.584,60035.03999999999,2017
2017-08-01,1204.087,72245.22,2017
2017-09-01,1112.403,66744.18000000001,2017
2017-10-01,1123.426,67405.56,2017
2017-11-01,1161.312,69678.72,2017
2017-12-01,1222.0,73320.0,2017
2018-01-01,1053.0,63180.0,2018
2018-02-01,1098.0,65880.0,2018
2018-03-01,1035.837,62150.22,2018
2018-04-01,924.926,55495.560000000005,2018
2018-05-01,950.765,57045.9,2018
2018-06-01,915.101,54906.06,2018
2018-07-01,1075.909,64554.54000000001,2018
2018-08-01,1024.859,61491.53999999999,2018
2018-09-01,1098.406,65904.36,2018
2018-10-01,1057.659,63459.54000000001,2018
2018-11-01,1233.452,74007.12,2018
2018-12-01,1282.996,76979.76000000001,2018
2019-01-01,1166.335,69980.1,2019
2019-02-01,1245.588,74735.28,2019
2019-03-01,1140.585,68435.1,2019
2019-04-01,872.342,52340.52,2019
2019-05-01,1028.036,61682.16,2019
2019-06-01,1110.195,66611.7,2019
2019-07-01,1121.937,67316.22,2019
2019-08-01,1214.031,72841.86,2019
2019-09-01,1008.672,60520.32,2019
2019-10-01,1211.405,72684.3,2019
2019-11-01,1162.209,69732.54000000001,2019
2019-12-01,1386.297,83177.82,2019
2020-01-01,1064.879,63892.73999999999,2020
2020-02-01,1078.06,64683.6,2020
2020-03-01,947.844,56870.64,2020
2020-04-01,642.031,38521.86,2020
2020-05-01,893.575,53614.5,2020
2020-06-01,1111.473,66688.38,2020
2020-07-01,1131.186,67871.15999999999,2020
2020-08-01,1131.0,67860.0,2020
2020-09-01,887.494,53249.64,2020
2020-10-01,1051.833,63109.98,2020
2020-11-01,1278.603,76716.18000000001,2020
2020-12-01,1309.0,78540.0,2020
2021-01-01,1072.0,64320.0,2021
2021-02-01,1273.64,76418.40000000001,2021
2021-03-01,1128.007,67680.42,2021
2021-04-01,1035.027,62101.62,2021
2021-05-01,345.0,20700.0,2021
2021-06-01,890.284,53417.04,2021
2021-07-01,1184.276,71056.56,2021
2021-08-01,1130.973,67858.38,2021
2021-09-01,1089.832,65389.920000000006,2021
2021-10-01,986.834,59210.03999999999,2021
2021-11-01,1135.451,68127.06,2021
2021-12-01,1167.18,70030.8,2021
2022-01-01,1031.827,61909.62,2022
2022-02-01,983.233,58993.979999999996,2022
2022-03-01,1120.626,67237.56,2022
2022-04-01,848.0,50880.0,2022
2022-05-01,944.263,56655.78,2022
2022-06-01,939.0,56340.0,2022
2022-07-01,1020.512,61230.719999999994,2022
2022-08-01,872.0,52320.0,2022
2022-09-01,816.0,48960.0,2022
2022-10-01,944.0,56640.0,2022
2022-11-01,853.0,51180.0,2022
2022-12-01,1035.0,62100.0,2022
2023-01-01,832.373,49942.380000000005,2023
2023-02-01,929.255,55755.3,2023
2023-03-01,906.561,54393.66,2023
2023-04-01,723.151,43389.06,2023
2023-05-01,845.853,50751.18,2023
2023-06-01,753.422,45205.32,2023
2023-07-01,851.998,51119.880000000005,2023
2023-08-01,816.755,49005.3,2023
2023-09-01,840.002,50400.119999999995,2023
2023-10-01,908.637,54518.219999999994,2023
2023-11-01,1104.61,66276.59999999999,2023
2023-12-01,1066.685,64001.1,2023
2024-01-01,937.134,56228.04,2024
2024-02-01,1045.063,62703.780000000006,2024
2024-03-01,1005.461,60327.66,2024
2024-04-01,791.794,47507.64,2024
2024-05-01,935.22,56113.200000000004,2024
2024-06-01,1023.959,61437.53999999999,2024
2024-07-01,1019.355,61161.3,2024
