Año,Mes,País destino,Nombre exportador,Sacos de 70 kg. equivalente real Exportados,Sacos de 60 Kg. Exportados,Valor Factura (USD)*,total_kg,fecha
2017,1,Alemania,A LAUMAYER Y COMPAÑIA EXPORTADORES,4691,5471,1133799.6400000001,656630,2017-01-01
2017,1,Alemania,ALTAMIRA SUPREMO S.A.S.,825,962,150000.0,115470,2017-01-01
2017,1,Alemania,BANCA EXPORTADORA S.A BANEXPORT,275,321,80000.0,38510,2017-01-01
2017,1,Alemania,C. I. KYOTO LOHAS BEANS S.A.S,271,316,96744.25,37930,2017-01-01
2017,1,Alemania,CAFE COLSUAVES S.A.S,300,350,64500.0,42000,2017-01-01
2017,1,Alemania,CARAVELA COLOMBIA S.A.S,286,334,61490.0,40060,2017-01-01
2017,1,Alemania,CARCAFE LTDA,3107,3625,778706.25,434990,2017-01-01
2017,1,Alemania,COFCO COLOMBIA S.A.S,275,321,50000.0,38510,2017-01-01
2017,1,Alemania,COMERCIALIZADORA TIERRA CAFE S.A.S.,283,332,101571.16999999998,39730,2017-01-01
2017,1,Alemania,COMPAÑÍA CAFETERA LA MESETA S.A.,3596,4197,908269.31,503540,2017-01-01
2017,1,Alemania,COMPAÑIA COLOMBIANA AGROINDUSTRIAL,899,1049,207630.77,125870,2017-01-01
2017,1,Alemania,COMPAÑIA NACIONAL DEL CAFÉ  S.A.S,6783,7912,1777309.6700000002,949530,2017-01-01
2017,1,Alemania,COOPERATIVA DE CAFICULTORES,190,223,88090.0,26680,2017-01-01
2017,1,Alemania,DESCAFEINADORA COLOMBIANA S.A.S,1,1,2475.0,130,2017-01-01
2017,1,Alemania,ENGELHART CTP (COLOMBIA )  S.A.S.,10237,11943,2175992.0799999996,1433170,2017-01-01
2017,1,Alemania,FEDERACION NACIONAL DE CAFETEROS,16948,19770,4515533.249999999,2372560,2017-01-01
2017,1,Alemania,INDUSTRIA COLOMBIANA DE CAFÉ S.A.S.,114,132,42784.0,15900,2017-01-01
2017,1,Alemania,INDUSTRIAS ALIADAS S.A.S,458,534,104720.0,64100,2017-01-01
