Año,Categoría,Valor
2016,Verde,11034.453
2017,Verde,11384.799
2018,Verde,11316.308
2019,Verde,11970.289
2020,Verde,10683.853
2021,Verde,10664.38
2022,Verde,9495.41
2023,Verde,9012.318
2016,Verde descafeinado,9.29
2017,Verde descafeinado,14.795
2018,Verde descafeinado,16.836
2019,Verde descafeinado,16.265
2020,Verde descafeinado,13.217
2021,Verde descafeinado,32.901
2022,Verde descafeinado,46.157
2023,Verde descafeinado,54.934
2016,Tostado en grano,40.02
2017,Tostado en grano,32.792
2018,Tostado en grano,37.701
2019,Tostado en grano,40.954
2020,Tostado en grano,44.111
2021,Tostado en grano,61.674
2022,Tostado en grano,65.881
2023,Tostado en grano,49.416
2016,Tostado y molido,51.905
2017,Tostado y molido,74.117
2018,Tostado y molido,59.364
2019,Tostado y molido,81.462
2020,Tostado y molido,89.641
2021,Tostado y molido,96.159
2022,Tostado y molido,95.032
2023,Tostado y molido,94.56
2016,Extracto y soluble,707.768
2017,Extracto y soluble,755.646
2018,Extracto y soluble,778.874
2019,Extracto y soluble,808.998
2020,Extracto y soluble,879.905
2021,Extracto y soluble,787.441
2022,Extracto y soluble,799.091
2023,Extracto y soluble,653.666
2016,Producto de Colombia (verde + industrializado),1001.397
2017,Producto de Colombia (verde + industrializado),720.965
2018,Producto de Colombia (verde + industrializado),542.257
2019,Producto de Colombia (verde + industrializado),749.664
2020,Producto de Colombia (verde + industrializado),816.709
2021,Producto de Colombia (verde + industrializado),796.234
2022,Producto de Colombia (verde + industrializado),906.67
2023,Producto de Colombia (verde + industrializado),714.408
